Customer,0
Microsoft Datacenter Holdings (HK) Limited,10004082.84
Global Travel Co Ltd,2080767.56
Apple Asia Limited,1524122.83
Allied Trade Holdings Limited,1322712.5
MCI Communications Service LLC,814439.6
CloudRadium L.L.C,566491.36
Flextronics International USA Inc.,494692.01
Flex LTD,430691.7
Google Singapore Pte. Ltd.,321113.0
Carrier Global Corporation,303603.93
Microsoft Corporation,287457.0
Jabil,269109.23
Amazon Asia-Pacific Resources Private Limited,240000.0
Apple Inc,239626.87
Zenlayer Inc.,197444.67
TEKFLOW PTE. LTD.,170340.0
Etong Information Services Limited,168540.0
Valve Corporation,152197.05
Edge Network Services Limited,126015.0
Marveltec Limited,122675.0
"Syniverse Technologies, LLC.",110880.0
"厦门铃盛软件有限公司 (Xiamen RingCentral Software Co., Ltd.)",92000.0
Amazon Data Services Hong Kong Limited,84000.0
GTT - EMEA Ltd,71525.1
"Tesla, Inc.",69000.0
Meta Platforms Inc,67925.13
"Fastblue Communications, Inc.",49750.0
DMIT Inc.,48447.24
厦门铃盛软件有限公司杭州分公司,48350.0
Littelfuse HK Limited,46000.0
8x8 inc,45210.17
雲鐳 (香港)有限公司,40400.0
Zillion Network Inc.,39446.36
Syngenta Crop Protection AG (Switzerland),38266.67
"Activision Publishing, Inc",35017.0
KLA Corporation,34971.0
IQVIA Inc,34284.0
Vofo Corporation,34000.0
HUNDREDCENT TECHNOLOGY LIMITED,31200.0
CFN Services Inc DBA Apcela,28975.0
Suzhou Littelfuse OVS Ltd.(苏州力特奥维斯保险丝有限公司),28800.0
GTT Communication,25238.0
"Littelfuse Semiconductor(Wuxi) Co.,Ltd (力特半导体（无锡）有限公司)",25200.0
"Tcloudnet, Inc",25040.0
PayPal Payments Pte. Ltd,24960.0
Citadel Enterprise Americas LLC,23330.0
Universe Action Limited,22575.82
Ford Motor Company,20239.0
Brooks Sports Inc,19820.0
"Flexport, Inc",18778.05
MERLIN ATTRACTIONS OPERATIONS LIMITED,17616.0
"Easy link, LLC",17070.97
Carlingswitch Manufacturing (Zhongshan) Co.Ltd.(嘉灵开关制造（中山）有限公司),16800.0
"Comax Electronics（Huizhou）Co.,Ltd.(高铭电子（惠州）有限公司)",16800.0
"Dongguan Littelfuse Electronics Co., Ltd.(东莞令特电子有限公司)",16800.0
"Littelfuse Electronics (Kunshan) Co., Ltd. (昆山利韬电子有限公司)",16800.0
"Littelfuse Electronics (Shanghai) Co., Ltd (上海利韬电子有限公司)",16800.0
Aiyun (HK) Network Technology Limited,16091.77
Telecom Malaysia (USA) Inc.,14400.0
Zayo Group (HK) Limited,14399.0
DH LIFE SCIENCES LLC,14189.0
eBay Inc.,13750.0
Arosscloud Inc,13500.0
SILVER POWER ENTERPRISE LIMITED,13000.0
Sealed Air Corporation,12540.0
Lam Research CORPORATION,12450.0
"Threshold Communications, INC.",11770.0
Everbridge Inc.,11484.36
Panasonic Avionics Corporation,10715.0
Aldo Group,10632.0
"Salesforce Japan Co., Ltd.",10240.0
Qualcomm Vietnam Company Limited,9800.0
Global Gig Inc.,9249.0
Fastnet Data Inc,9000.0
Hungtak International Network Limited,9000.0
"IDEO, LP",8250.0
SECURITY NETWORK INTELLIGENCE CLOUD LIMITED,8250.0
LoopUp (HK) Limited,8057.17
DREAM CLOUD LIMITED,8000.0
SharkTech Inc.,8000.0
DiDi Global Procurement Management (HK) Limited,7130.0
lululemon (Thailand) Limited,6871.99
TOWER RESEARCH CAPITAL(SINGAPORE) PTE. LTD.,6640.0
"Blue Tech Technology Co., Limited",5800.0
Layerstack Ltd,5482.0
"PMI WW Brands, LLC",5460.0
Syngenta Crop Protection AG,5400.0
Activ Financial Systems Inc,5300.0
"Joby Aero, Inc",5150.0
"Amazon INFORMATION Service (Beijing) Co., Ltd. Shanghai Branch office",4950.0
Verizon Hong Kong Limited,4550.0
"Didi America Research, LLC",4395.5
XLC PTE. LTD.,4105.4
PARASME TECHNOLOGIES LLC,4021.54
PACVUE CORPORATION,3600.0
Starcloud Information Limited,3362.0
The Trade Desk (Singapore) Pte. Ltd.,3340.0
HYDROX AI INC.,3280.0
"AVOXI, Inc.",3273.33
INCONTACT INC.,3270.6
QI ZHENG TELECOMMUNICATION TECHNOLOGY (HONG KONG) COMPANY LIMITED,2980.0
科赋锐（北京）信息科技有限公司,2900.35
"Toolots, Inc.",2892.39
QXTEL Limited,2611.35
Wesco Aircraft Hardware Corp China,2565.0
"Rivian Automotive, LLC",2500.0
LYCAMOBILE UK Ltd,2400.0
Lululemon Athletica Korea Ltd,2367.34
CLOUDVALLEY SDN. BHD,2360.0
"POINT5 MANAGED SERVICES, LLC",2350.0
"Dialpad, Inc.",2330.0
Lineal,2245.0
Lululemon HK Limited,2010.0
Wideaccel Communication Co Limited,2000.0
"Datavisor, Inc",1970.0
"KDDI America, Inc.",1900.0
"Momentum Telecom, Inc",1890.0
Infinera Corporation,1850.0
HID GLOBAL CORPORATION,1800.0
DIDWW Ireland Limited,1740.0
KAPLAN U.K. LIMITED,1600.0
RAINBOW TECH INFORMATION (HK) LIMITED,1600.0
OK COMMUNICATION LIMITED,1550.0
American Chemical Society,1510.0
"Cloudflare, Inc.",1500.0
PAG Consulting Limited,1500.0
Zont LLC,1317.6
lululemon athletica JP合同会社,1248.71
COMMS GROUP (INTERNATIONAL) PTE. LTD.,1156.29
Modes Moose Inc,1110.0
Telecom North America Inc.,1000.0
曉通網路科技（香港）有限公司,882.0
"Hunting U.S. Holdings, Inc.",850.0
Freeroad Inc.,840.0
"Tranquilityvale, Inc.",840.0
Nvidia Corporation,820.0
"Phillips & Temro Industries, Inc",820.0
CHECKOUT LIMITED,750.0
Netrino Tech Ltd.,750.0
JU LINK TECH LIMITED,700.0
"Voxgrid, Inc.",626.95
GCI SCIENCE & TECHNOLOGY (MALAYSIA) SDN. BHD.,604.0
i4HK Limited,500.0
CDP Worldwide,480.0
"Gildan (China) Trading Co., Ltd.",454.0
Xelogic Investment Ltd,409.91
International Olympic Committee,360.0
VIVA COMPANIONS TECHNOLOGY PTE. LTD.,300.0
Total SMS Ltd,292.46
露露樂蒙股份有限公司,250.71
Zoundream AG,240.0
ALPHAWAVE IP INC.,200.0
BOWTIE LIFE INSURANCE COMPANY LIMITED,200.0
"PONY.Al, INC",200.0
Telco Infinity Communication PTE Ltd,195.06
STAUBLI TECHNOLOGY AND SERVICES,185.0
First Wave Technology Pte. Ltd.,180.0
DIRECTIVE GAMES LIMITED,150.0
SIACOM JSC,150.0
Plivo Inc.,87.65
HARISMA COMMUNICATIONS LIMITED,83.58
Info-Telecom SH.P.K,50.0
CIK Telecom Inc.,25.2
Manor IT (UK) Limited,24.31
Lexico Telecom LTD SIA,20.19
BELGACOM INTERNATIONAL CARRIER SERVICES,17.22
Computertel Inc.,5.21
Everway Technology Limited,4.91
AlkaIP Telecom LLC,2.45
"TIGER LEAP TECHNOLOGY GROUP CO.,LIMITED",1.61
ACROBAT TELECOM INC.,1.14
RIGEL VOICE INC.,1.12
InfoTelecom,0.24
Last Mile Corp.,0.18
AIRTIME TECHNOLOGIES CHILE SpA,0.15
Identidad Advertising Development LLC d/b/a Identidad Telecom,0.14
Pai Telecommunications Limited,0.04
Express Teleservices Corp. dba Lanck Telecom,0.01
